Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
4036,http://archive.org/download/MindYour1953/MindYour1953.mpg,http://archive.org/download/MindYour1953/MindYour1953.mpeg,http://movies03.archive.org/0/movies/MindYour1953/MindYour1953.avi,,,1953,Ephemeral,Social guidance;Social guidance: Etiquette;Teenagers;,00:10:36,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
4034,http://archive.org/download/MentalHe1952/MentalHe1952.mpg,http://archive.org/download/MentalHe1952/MentalHe1952.mpeg,http://movies03.archive.org/0/movies/MentalHe1952/MentalHe1952.avi,,,1952,Ephemeral,Social guidance;Psychology;Mental hygiene;,00:12:04,Yes,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
4035,http://archive.org/download/MightyCo1947/MightyCo1947.mpg,http://archive.org/download/MightyCo1947/MightyCo1947.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/98.avi,,,1947,Ephemeral,Geography: U.S.: Pacific Northwest;Rivers (Western U.S.);Environment;,00:09:54,Yes,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
4031,,http://archive.org/download/MenandJo1944/MenandJo1944.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/95.avi,,,1944,Ephemeral,World War II: Homefront;World War II: Industrial production;Labor: 1940s;,00:08:35,Yes,Yes,n/a,English,"U.S. Federal Security Agency, Social Security Board",Internet Archive,No,2001,Internet Archive
4029,http://archive.org/download/MedicalA1950/MedicalA1950.mpg,http://archive.org/download/MedicalA1950/MedicalA1950.mpeg,http://movies03.archive.org/0/movies/MedicalA1950/MedicalA1950.avi,,,1950,Ephemeral,Atomic/nuclear: Civil defense;Atomic/nuclear: Weapons;Cold War;,00:20:14,Yes,Yes,n/a,English,"U.S. Air Force, Special Weapons Project",Internet Archive,No,2001,Internet Archive
4027,http://archive.org/download/Measureo1962/Measureo1962.mpg,http://archive.org/download/Measureo1962/Measureo1962.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/94.avi,,,1962,Ephemeral,Social guidance;Substance abuse: Alcohol;Psychology;,00:22:02,Yes,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
4020,http://archive.org/download/ftparchive/13291.mpg,,http://www.ibiblio.org/openvideo/video/mpg4/93.avi,,,1964,Ephemeral,Meat: Inspection;,00:18:19,Yes,Yes,n/a,English,"U.S. Dept. of Agriculture, Agricultural Research Service",Internet Archive,No,2001,Internet Archive
4009,,http://archive.org/download/MakingaN1946_2/MakingaN1946_2.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/92.avi,,,1946,Ephemeral,Home economics: Laundry;Occupations: Housework;Appliances: Sales;,00:11:21,Yes,Yes,n/a,English,Ironrite Company,Internet Archive,No,2001,Internet Archive
4007,http://archive.org/download/ftparchive/02581.mpg,,http://ftp.archive.org/movies/divx/02581.avi,,,1948,Ephemeral,Cold War;Animation: Advertising;Capitalism;,00:09:30,Yes,Yes,n/a,English,"Harding College (Searcy, Arkansas)",Internet Archive,No,2001,Internet Archive
4000,http://archive.org/download/LuckyStr1948_2/LuckyStr1948_2.mpg,http://archive.org/download/LuckyStr1948_2/LuckyStr1948_2.mpeg,http://movies03.archive.org/0/movies/LuckyStr1948_2/LuckyStr1948_2.avi,,,1948,Ephemeral,Advertising: Television commercials;Substance abuse: Tobacco;Animation: Stop-motion;,00:00:58,No,Yes,n/a,English,American Tobacco Company,Internet Archive,No,2001,Internet Archive
