video_id,title,description,genre,keywords,duration,popularity,video_url,image_path
6477,NASAKSN - Los Numeros Negativos,NASAKSN - Los Numeros Negativos  (2003) Que son los numeros negativos?,Educational,Daniela; Cero; Zero; Termometro; Thermometer; Positivo; Positive; Negativo; Negative; Menor; Lesser; Mayor; Greater; Nœmero; Number; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1533,https://open-video.org/details.php?videoid=6477,./results_files/NASAKSN-LosNumerosNegativos_01799.gif
6478,NASAKSN - Las Zonas Horarias,NASAKSN - Las Zonas Horarias  (2003) Que son los zonas horarias?,Educational,Julieth; Zonas Horarias; Time Zones; Hora; Hour; Grados; Degrees; 24; Esfera; Sphere; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1407,https://open-video.org/details.php?videoid=6478,./results_files/NASAKSN-LasZonasHorarias_00391.gif
6479,NASAKSN - El Ruido de los Aviones,NASAKSN - El Ruido de los Aviones  (2003) Que hace la NASA para controlar el ruido de los aviones?,Educational,Daniel; Ruido; Avion; Silencioso; Amplitud; Onda; Tecnologia; Sonido; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1448,https://open-video.org/details.php?videoid=6479,./results_files/NASAKSN-ElRuidoDeLosAviones_00445.gif
6480,NASAKSN - CDs,NASAKSN - CDs  (2003) Como funciona un CD?,Educational,Julieth; CD; Disco Compacto; Compact Disc; Digital; Sonido; Sound; Nœmeros; Numbers; Musica; Music; Cero; Zero; Uno; One; Computadora; Computer; Codigo; Code; Laser; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1418,https://open-video.org/details.php?videoid=6480,./results_files/NASAKSN-CDs_00976(1).gif
6481,NASAKSN - El Limpiaparabrisas,NASAKSN - El Limpiaparabrisas  (2003) Quien invento el limpiaparabrisas?,Educational,Andrea; Limpiaparabrisas; Windshield Wipers; Mary Anderson; Katherine Blodgett; Hedy Lamarr; Kevlar; Stephanie Kwolek; Spread Spectrum; Invenci—n; Invention; Inventor; Inventar; Invent; Espectro; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1343,https://open-video.org/details.php?videoid=6481,./results_files/NASAKSN-ElLimpiaparabrisas_01306.gif
6482,NASAKSN - Tunel de Viento,NASAKSN - Tunel de Viento  (2003) Que es un tunel de viento?,Educational,Julieth; Tunel De Viento; Wind Tunnel; Avion; Airplane; Aire; Air; Autos De Carreras; Racecars; Car; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1731,https://open-video.org/details.php?videoid=6482,./results_files/NASAKSN-TunelDeViento_01215.gif
6483,NASAKSN - El Internet,NASAKSN - El Internet  (2003) Como funciona el internet?,Educational,Lisa; Web; Internet; Computadora; Computer; Servidor; Server; Informaci—n; Information; Conectar; Connect; ElŽctrico; Electric; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1415,https://open-video.org/details.php?videoid=6483,./results_files/NASAKSN-ElInternet_00976.gif
6484,NASAKSN - El Raton de Computadora,NASAKSN - El Raton de Computadora  (2003) Como puedo arreglar el raton de mi computadora?,Educational,Daniela; Rat—n; Mouse; Computadora; Computer; Optomec‡nico; Bola; Ball; Luz; Light; Detector; Noticiencias; Noticas Cientifica; Kids' Science News Network;,00:00:58,1748,https://open-video.org/details.php?videoid=6484,./results_files/NASAKSN-ElRatonDeComputadora_00960.gif
6485,NASAKSN - Virus de Computadora,NASAKSN - Virus de Computadora  (2003) Que es un virus de computadora?,Educational,Elmer; Virus; Computadora; Computer; Cuerpo; Body; Enfermar; Sicken; Enfermo; Sick; Internet; Anti-Virus; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,1542,https://open-video.org/details.php?videoid=6485,./results_files/NASAKSN-VirusDeComputadora_00646.gif
6486,NASAKSN - El Correro Electronico,NASAKSN - El Correro Electronico  (2003) Como funciona el correo electronico?,Educational,Daniela; Correo Electronico; E-Mail; Electronic Mail; Computadora; Computer; Servidor; Server; Carta; Letter; Mensaje; Message; Oficina de Correos; Post Office; Noticiencias; Noticias Cientificas; Kids' Science News Network;,00:00:58,739,https://open-video.org/details.php?videoid=6486,./results_files/NASAKSN-ElCorreoElectronico_01216.gif
6487,NASAKSN - Bits y Bytes,NASAKSN - Bits y Bytes  (2003) Cual es la diferencia entre bits y bytes?,Educational,Daniela; Bit; Byte; Uno; One; Cero; Zero; Memoria; Memory; Binario; Binary; Nœmero; Number; Numeral; Codigo; Code; Ocho; Eight; Digito; Digit; Cifra; Digital; Lugar; Place; Noticiencias; Noticas Cientificas; Kids' Science News Network;,00:00:58,1520,https://open-video.org/details.php?videoid=6487,./results_files/NASAKSN-BitsYBytes_01636.gif
6577,NASAKSNN - Are You An Explorer,NASAKSNN - Are You An Explorer  (2005) Are You An Explorer? This segment describes the future plans NASA has for space exploration.,Educational,NASA Kids Science News Network; KSNN; Grant; International Space Station; Mars;,00:00:30,485,https://open-video.org/details.php?videoid=6577,./results_files/keyframe_blank_med.gif
6578,NASAKSNN - Calcium And Bones 1,NASAKSNN - Calcium And Bones 1  (2004) Calcium And Bones. This segment describes how astronauts maintain healthy bones in space.,Educational,NASA Kids Science News Network; KSNN; Hannah; Calcium; Bones; Exercise; Bone Loss;,00:00:58,633,https://open-video.org/details.php?videoid=6578,./results_files/NASAKSN-CalciumAndBones1_00946.gif
6580,NASAKSNN - How Do Satellites Help Study Earth,NASAKSNN - How Do Satellites Help Study Earth  (2004) How Do Satellites Help Study Earth? This segment describes how NASA uses satellites to study the Earth.,Educational,NASA Kids Science News Network; KSNN; R. J.; Satellites; Ocean; Desert;,00:00:58,936,https://open-video.org/details.php?videoid=6580,./results_files/NASAKSN-HowDoSatellitesHelpStudyEarth_00540.gif
6581,NASAKSNN - How Do Space Shuttles Blast Off,NASAKSNN - How Do Space Shuttles Blast Off  (2005) How Do Space Shuttles Blast Off? This segment describes the physics behind shuttle blast offs.,Educational,NASA Kids Science News Network; KSNN; Bianca; Newton's Third Law of Motion; Space Shuttle; Take off; Blast off;,00:00:30,1883,https://open-video.org/details.php?videoid=6581,./results_files/NASAKSN-HowDoSpaceShuttlesBlastOff_00646.gif
6582,NASAKSNN - How Many Satellites Help Study Earth,NASAKSNN - How Many Satellites Help Study Earth  (2004) How Many Satellites Help Study Earth? This segment describes why NASA uses different satellites to study the Earth and what these satellites collect data on.,Educational,NASA Kids Science News Network; KSNN; Emily; Satellites; What Satellites Measure;,00:00:58,604,https://open-video.org/details.php?videoid=6582,./results_files/NASAKSN-HowManySatellitesHelpStudyEarth_01193.gif
6585,NASAKSNN - Do You Wonder How Things Work,NASAKSNN - Do You Wonder How Things Work  (2005) Do You Wonder How Things Work? This segment describes the characteristics of people who work at NASA.,Educational,NASA Kids Science News Network; KSNN; Bianca; Characteristics of Scientists; Characteristics of Astronauts;,00:00:31,684,https://open-video.org/details.php?videoid=6585,./results_files/NASAKSN-DoYouWonderHowThingsWork_00241.gif
6587,NASAKSNN - What Changes Make The Space Shuttle Safer,NASAKSNN - What Changes Make The Space Shuttle Safer  (2005) What Changes Make The Space Shuttle Safer? This segment describes the technology used for the space shuttle to have a safe trip.,Educational,NASA Kids Science News Network; KSNN; R. J.; Safety; Blast Off;,00:00:31,1071,https://open-video.org/details.php?videoid=6587,./results_files/NASAKSN-WhatChangesMakeTheSpaceShuttleSafer_00736.gif
6589,NASAKSNN - Why Can't Teddy Travel On The Space Shuttle,NASAKSNN - Why Can't Teddy Travel On The Space Shuttle  (2005) Why Can't Teddy Travel On The Space Shuttle? This segment explains why astronauts can only take certain items on the space shuttle.,Educational,NASA Kids Science News Network; KSNN; R. J.; Off Gassing; What astronauts take on the space shuttle; Teddy Bears;,00:00:30,703,https://open-video.org/details.php?videoid=6589,./results_files/NASAKSN-WhyCantTeddyTravelOnTheSpaceShuttle_00241.gif
6590,NASAKSNN - Why Do Astronauts Float Inside The Space Shuttle,NASAKSNN - Why Do Astronauts Float Inside The Space Shuttle  (2005) Why Do Astronauts Float Inside The Space Shuttle? This segments explains how weightlessness in space is similar to free fall.,Educational,NASA Kids Science News Network; KSNN; Grant; Free fall; Weightlessness; Floating; Elevator;,00:00:30,486,https://open-video.org/details.php?videoid=6590,./results_files/keyframe_blank_med.gif
6591,NASAKSNN - Why Study Earth From Space,NASAKSNN - Why Study Earth From Space  (2004) Why Study Earth From Space? This segment describes how satellites are used to study places in the environment scientists cannot reach.,Educational,NASA Kids Science News Network; KSNN; Lea; Emily; Natural Disasters; Satellites; Research; Study;,00:00:58,778,https://open-video.org/details.php?videoid=6591,./results_files/NASAKSN-WhyStudyEarthFromSpace_01200.gif
7068,Salton Honored - A SMART Celebration: Wrapup,"Salton Honored - A SMART Celebration: Wrapup  (1995) Robert Constable closed the conference by acknowledgement to Gerard Salton for the accomplishment of 30 years of IR through SMART at the Department of Computer Science, Cornell University.",Lecture,Information Retrieval; IR; SMART; Cornell; Gerard Salton; Robert Constable,00:00:56,1242,https://open-video.org/details.php?videoid=7068,./results_files/SaltonSMART3_2_00600.gif
4419,"Trip, The","Trip, The  (1939) Screen ad, in Technicolor, for the 1940 Chevrolet models.",Ephemeral,Automobiles: Advertising;Advertising: Screen ads;Car culture;,00:00:48,2441,https://open-video.org/details.php?videoid=4419,./results_files/07780g_00624.gif
4000,Lucky Strike Cigarette Commercial: Square Dance,Lucky Strike Cigarette Commercial: Square Dance  (1948) Lucky Strike cigarette commercial with stop-motion animation of square-dancing cigarettes.,Ephemeral,Advertising: Television commercials;Substance abuse: Tobacco;Animation: Stop-motion;,00:00:58,5126,https://open-video.org/details.php?videoid=4000,./results_files/08013b_01517.gif
5844,Sunbeam Bread Commercial #6,Sunbeam Bread Commercial #6,Ephemeral,,00:00:25,573,https://open-video.org/details.php?videoid=5844,./results_files/sunbeam_commercial_6_00001000.gif
