Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
377,http://www.ibiblio.org/openvideo/video/umd/indi104.mpg,,,,,0,Documentary,,00:00:39,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
378,http://www.ibiblio.org/openvideo/video/umd/indi105.mpg,,,,,0,Documentary,,00:01:37,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
379,http://www.ibiblio.org/openvideo/video/umd/indi106.mpg,,,,,0,Documentary,,00:02:00,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
380,http://www.ibiblio.org/openvideo/video/umd/indi107.mpg,,,,,0,Documentary,,00:00:52,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
381,http://www.ibiblio.org/openvideo/video/umd/indi108.mpg,,,,,0,Documentary,,00:01:29,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
382,http://www.ibiblio.org/openvideo/video/umd/indi109.mpg,,,,,0,Documentary,,00:02:28,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
383,http://www.ibiblio.org/openvideo/video/umd/indi110.mpg,,,,,0,Documentary,,00:00:40,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
384,http://www.ibiblio.org/openvideo/video/umd/indi111.mpg,,,,,0,Documentary,,00:01:02,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
385,http://www.ibiblio.org/openvideo/video/umd/indi112.mpg,,,,,0,Documentary,,00:02:51,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
386,http://www.ibiblio.org/openvideo/video/umd/indi113.mpg,,,,,0,Documentary,,00:02:48,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
387,http://www.ibiblio.org/openvideo/video/umd/indi114.mpg,,,,,0,Documentary,,00:01:00,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
388,http://www.ibiblio.org/openvideo/video/umd/indi115.mpg,,,,,0,Documentary,,00:02:08,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
389,http://www.ibiblio.org/openvideo/video/umd/indi116.mpg,,,,,0,Documentary,,00:03:04,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
390,http://www.ibiblio.org/openvideo/video/umd/indi117.mpg,,,,,0,Documentary,,00:01:45,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
