Id,MPEG-4
8071,http://www.ibiblio.org/openvideo/video/chi/chi89one_07_m4.mp4
8072,http://www.ibiblio.org/openvideo/video/chi/chi89one_08_m4.mp4
8073,http://www.ibiblio.org/openvideo/video/chi/chi89one_09_m4.mp4
8074,http://www.ibiblio.org/openvideo/video/chi/chi89one_10_m4.mp4
8075,http://www.ibiblio.org/openvideo/video/chi/chi89two_01_m4.mp4
8076,http://www.ibiblio.org/openvideo/video/chi/chi89two_02_m4.mp4
8077,http://www.ibiblio.org/openvideo/video/chi/chi89two_03_m4.mp4
8079,http://www.ibiblio.org/openvideo/video/chi/chi89two_05_m4.mp4
8080,http://www.ibiblio.org/openvideo/video/chi/chi89two_06_m4.mp4
8081,http://www.ibiblio.org/openvideo/video/chi/chi89two_07_m4.mp4
8082,http://www.ibiblio.org/openvideo/video/chi/chi89two_08_m4.mp4
8083,http://www.ibiblio.org/openvideo/video/chi/chi89two_09_m4.mp4
8084,http://www.ibiblio.org/openvideo/video/chi/chi90atw_01_m4.mp4
8085,http://www.ibiblio.org/openvideo/video/chi/chi90atw_02_m4.mp4
8086,http://www.ibiblio.org/openvideo/video/chi/chi90atw_03_m4.mp4
8087,http://www.ibiblio.org/openvideo/video/chi/chi90atw_04_m4.mp4
8088,http://www.ibiblio.org/openvideo/video/chi/chi90atw_05_m4.mp4
8089,http://www.ibiblio.org/openvideo/video/chi/chi90atw_06_m4.mp4
8090,http://www.ibiblio.org/openvideo/video/chi/chi90atw_07_m4.mp4
8091,http://www.ibiblio.org/openvideo/video/chi/chi90atw_08_m4.mp4
8092,http://www.ibiblio.org/openvideo/video/chi/chi90atw_09_m4.mp4
8093,http://www.ibiblio.org/openvideo/video/chi/chi90atw_10_m4.mp4
8094,http://www.ibiblio.org/openvideo/video/chi/chi90atw_11_m4.mp4
8095,http://www.ibiblio.org/openvideo/video/chi/chi90atw_12_m4.mp4
8096,http://www.ibiblio.org/openvideo/video/chi/chi90atw_13_m4.mp4
8097,http://www.ibiblio.org/openvideo/video/chi/chi90_01_m4.mp4
8098,http://www.ibiblio.org/openvideo/video/chi/chi90_02_m4.mp4
8099,http://www.ibiblio.org/openvideo/video/chi/chi90_03_m4.mp4
8100,http://www.ibiblio.org/openvideo/video/chi/chi90_04_m4.mp4
8101,http://www.ibiblio.org/openvideo/video/chi/chi90_05_m4.mp4
8102,http://www.ibiblio.org/openvideo/video/chi/chi90_06_m4.mp4
8103,http://www.ibiblio.org/openvideo/video/chi/chi90_07_m4.mp4
8104,http://www.ibiblio.org/openvideo/video/chi/chi90_08_m4.mp4
8105,http://www.ibiblio.org/openvideo/video/chi/chi90_09_m4.mp4
8106,http://www.ibiblio.org/openvideo/video/chi/chi90_10_m4.mp4
8107,http://www.ibiblio.org/openvideo/video/chi/chi90_11_m4.mp4
8108,http://www.ibiblio.org/openvideo/video/chi/chi90_12_m4.mp4
8109,http://www.ibiblio.org/openvideo/video/chi/chi92one_01_m4.mp4
8110,http://www.ibiblio.org/openvideo/video/chi/chi92one_02_m4.mp4
8111,http://www.ibiblio.org/openvideo/video/chi/chi92one_03_m4.mp4
8112,http://www.ibiblio.org/openvideo/video/chi/chi92one_04_m4.mp4
8113,http://www.ibiblio.org/openvideo/video/chi/chi92one_05_m4.mp4
8114,http://www.ibiblio.org/openvideo/video/chi/chi92one_06_m4.mp4
8116,http://www.ibiblio.org/openvideo/video/chi/chi92one_08_m4.mp4
8117,http://www.ibiblio.org/openvideo/video/chi/chi92one_09_m4.mp4
8118,http://www.ibiblio.org/openvideo/video/chi/chi92one_10_m4.mp4
8119,http://www.ibiblio.org/openvideo/video/chi/chi92one_11_m4.mp4
8120,http://www.ibiblio.org/openvideo/video/chi/chi92one_12_m4.mp4
8121,http://www.ibiblio.org/openvideo/video/chi/chi92one_13_m4.mp4
8122,http://www.ibiblio.org/openvideo/video/chi/chi92two_01_m4.mp4
8123,http://www.ibiblio.org/openvideo/video/chi/chi92two_02_m4.mp4
8124,http://www.ibiblio.org/openvideo/video/chi/chi92two_03_m4.mp4
8125,http://www.ibiblio.org/openvideo/video/chi/chi92two_04_m4.mp4
8126,http://www.ibiblio.org/openvideo/video/chi/chi92two_05_m4.mp4
8127,http://www.ibiblio.org/openvideo/video/chi/chi92two_06_m4.mp4
8128,http://www.ibiblio.org/openvideo/video/chi/chi92two_07_m4.mp4
8129,http://www.ibiblio.org/openvideo/video/chi/chi92two_08_m4.mp4
8130,http://www.ibiblio.org/openvideo/video/chi/chi92two_09_m4.mp4
8131,http://www.ibiblio.org/openvideo/video/chi/chi92two_10_m4.mp4
8132,http://www.ibiblio.org/openvideo/video/chi/chi92two_11_m4.mp4
8133,http://www.ibiblio.org/openvideo/video/chi/chi92two_12_m4.mp4
8134,http://www.ibiblio.org/openvideo/video/chi/cscw92_01_m4.mp4
8135,http://www.ibiblio.org/openvideo/video/chi/cscw92_02_m4.mp4
8136,http://www.ibiblio.org/openvideo/video/chi/cscw92_03_m4.mp4
8137,http://www.ibiblio.org/openvideo/video/chi/cscw92_04_m4.mp4
8138,http://www.ibiblio.org/openvideo/video/chi/cscw92_05_m4.mp4
8139,http://www.ibiblio.org/openvideo/video/chi/cscw92_06_m4.mp4
8140,http://www.ibiblio.org/openvideo/video/chi/cscw92_07_m4.mp4
8141,http://www.ibiblio.org/openvideo/video/chi/cscw92_08_m4.mp4
8143,http://www.ibiblio.org/openvideo/video/chi/ichi93one_02_m4.mp4
8144,http://www.ibiblio.org/openvideo/video/chi/ichi93one_03_m4.mp4
8145,http://www.ibiblio.org/openvideo/video/chi/ichi93one_04_m4.mp4
8146,http://www.ibiblio.org/openvideo/video/chi/ichi93one_05_m4.mp4
8147,http://www.ibiblio.org/openvideo/video/chi/ichi93one_06_m4.mp4
8148,http://www.ibiblio.org/openvideo/video/chi/ichi93one_07_m4.mp4
8149,http://www.ibiblio.org/openvideo/video/chi/ichi93one_08_m4.mp4
8150,http://www.ibiblio.org/openvideo/video/chi/ichi93one_09_m4.mp4
8151,http://www.ibiblio.org/openvideo/video/chi/ichi93one_10_m4.mp4
8152,http://www.ibiblio.org/openvideo/video/chi/ichi93one_11_m4.mp4
8153,http://www.ibiblio.org/openvideo/video/chi/ichi93one_12_m4.mp4
8154,http://www.ibiblio.org/openvideo/video/chi/ichi93one_13_m4.mp4
